iter	Passed	Remaining
0	163	16209
1	177	8698
2	195	6318
3	213	5119
4	226	4297
5	243	3815
6	266	3543
7	283	3260
8	301	3049
9	319	2878
10	331	2681
11	348	2556
12	359	2407
13	377	2319
14	394	2233
15	411	2161
16	431	2106
17	449	2048
18	469	2001
19	488	1953
20	507	1910
21	526	1868
22	546	1828
23	565	1789
24	584	1752
25	602	1716
26	620	1678
27	637	1638
28	653	1600
29	671	1566
30	683	1522
31	701	1490
32	718	1459
33	737	1432
34	753	1399
35	771	1370
36	789	1344
37	808	1319
38	829	1298
39	849	1273
40	872	1255
41	894	1234
42	915	1212
43	936	1191
44	960	1173
45	981	1152
46	995	1122
47	1016	1100
48	1038	1080
49	1060	1060
50	1080	1038
51	1102	1017
52	1121	994
53	1140	971
54	1158	947
55	1176	924
56	1195	901
57	1212	878
58	1229	854
59	1246	831
60	1263	807
61	1278	783
62	1294	760
63	1312	738
64	1328	715
65	1345	693
66	1361	670
67	1377	648
68	1393	626
69	1410	604
70	1427	582
71	1447	562
72	1466	542
73	1483	521
74	1499	499
75	1516	478
76	1532	457
77	1549	436
78	1568	416
79	1586	396
80	1603	376
81	1620	355
82	1635	335
83	1651	314
84	1669	294
85	1685	274
86	1701	254
87	1717	234
88	1733	214
89	1749	194
90	1766	174
91	1784	155
92	1802	135
93	1819	116
94	1835	96
95	1852	77
96	1869	57
97	1886	38
98	1903	19
99	1919	0
